Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
Chuyên viên Kinh doanh (Account Manager),data analyst,Junior,2,Công ty TNHH Viettel - CHT,Hồ Chí MinhHà Nội,Negotiable,Excel,Careerviet
110814 - Sales Manager (HCM) - Communication,N/A,Senior,5,"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,$15306.12-1836.73,,Careerviet
Nhân Viên Bảo Đảm Chất Lượng,data analyst,Junior,2-3,Trường Đại Học Tân Tạo,Long An,Negotiable,Excel,Careerviet
POS Specialist,SAP consultant,Intermediate,3-5,Viet Thai International,Hồ Chí Minh,Negotiable,ERP,Careerviet
Trưởng nhóm Vận hành,N/A,Intermediate,3,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,Negotiable,,Careerviet
Database Administration - Oracle (Senior Specialist / Expert),database administrator,Senior,3-6,FE CREDIT,Hồ Chí Minh,$1000.00-2000.00,"MySQL, Linux, Unix, ETL",Careerviet
Nhân Viên Khảo Thí,data analyst,Junior,2-3,Trường Đại Học Tân Tạo,Long An,Negotiable,Excel,Careerviet
[Ngành Cảng] Nhân Viên Phân Tích Nghiệp Vụ Công Nghệ Thông Tin,SAP consultant,Intermediate,3,Công Ty Cổ Phần Đồng Tâm,Long AnHồ Chí Minh,Negotiable,"UI/UX, SAP, ERP",Careerviet
"Nhân viên kinh doanh phần mềm, giải pháp",N/A,Intermediate,1-5,CÔNG TY CỔ PHẨN TẬP ĐOÀN MK,Hà Nội,$612.24-1428.57,,Careerviet
Head of Ecosystem Center - Hà Nội - TA003,data scientist,Senior,5-10,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Negotiable,AI,Careerviet
Kỹ sư Tech support Cloud,IT professional,Junior,2,Công ty TNHH Viettel - CHT,Hà Nội,Negotiable,"Linux, VMware",Careerviet
Chuyên viên Lập trình ứng dụng,DevOps engineer,Intermediate,3-5,Công Ty CP Tập Đoàn Tân Long,Hồ Chí Minh,Negotiable,"SQL, Docker, AWS, Azure, CI/CD, Microservices",Careerviet
Junior Account,N/A,Junior,N/A,Công ty TNHH Levinci,Hồ Chí Minh,$408.16-734.69,,Careerviet
Chuyên Viên/ CVCC Kiểm Thử Phần Mềm (Tester),QA engineer,Junior,1,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội,Negotiable,"Excel, MS Excel, JIRA, Confluence, Agile",Careerviet
Technical Support (Night Shift),IT support,Junior,1-3,CÔNG TY CỔ PHẦN MAC MARKETING,Hồ Chí Minh,$571.43-653.06,"PC, Networking",Careerviet
Nhân Viên Kinh Doanh Phần Mềm (HN),N/A,Junior,1,Công Ty TNHH Tư Vấn Kỹ Thuật Và Tin Học Thương Mại Viet C.A.D,Hà Nội,$367.35-612.24,,Careerviet
Business Development Specialist,data analyst,Junior,2-3,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,$1020.41-1428.57,Business Intelligence,Careerviet
Senior Nodejs Backend Developer (Chuyên Viên Lập Trình),backend developer,Senior,2-4,CÔNG TY CỔ PHẦN KING FOOD MARKET,Hồ Chí Minh,$857.14-1632.65,"NodeJS, MongoDB, Docker, MySQL, Redis, ElasticSearch, Git, CI/CD, Kafka, RabbitMQ",Careerviet
SAP ABAP Developer,software developer,Intermediate,3,Tập Đoàn Karofi Holding,Hà Nội,$1020.41-1224.49,"SQL, SAP, ERP",Careerviet
Nhân Viên Kinh Doanh Phần Mềm (HCM),N/A,Junior,1,Công Ty TNHH Tư Vấn Kỹ Thuật Và Tin Học Thương Mại Viet C.A.D,Hồ Chí Minh,$367.35-612.24,,Careerviet
Senior Full Stack Developer,full stack developer,Senior,4-6,CREASIA,Hồ Chí Minh,Negotiable,"SQL, JavaScript, HTML5, CSS3, React, .NET, TypeScript, Microservices",Careerviet
Senior Business Development Executive,N/A,Senior,3,EEO Vietnam,Hồ Chí Minh,Negotiable,,Careerviet
Chuyên Viên Cao Cấp Phát Triển Phần Mềm (Java Backend),backend developer,Intermediate,3-5,Công Ty CP Chứng Khoán VNDIRECT,Hà Nội,Negotiable,"Java, Spring, PostgreSQL, MySQL, Redis, ElasticSearch, GitHub, JIRA, Agile, Scrum, Kafka",Careerviet
Account Manager (Remote),N/A,Intermediate,3-5,CÔNG TY CỔ PHẦN PERMATE GLOBAL,Đà Nẵng,Negotiable,,Careerviet
Quản lý nhóm (Team Leader),tech lead,Lead/Expert,5,Công ty TNHH Giải Pháp Số Toàn Cầu,Hồ Chí Minh,Negotiable,,Careerviet
HO - Khối Kiểm toán nội bộ - Chuyên viên Kiểm toán Công nghệ thông tin,business intelligence analyst,Intermediate,4,Ngân hàng TMCP Lộc Phát Việt Nam (LPBank),Hà Nội,Negotiable,"Python, SQL, Tableau, Power BI",Careerviet
Business Consulting Intern / Thực tập sinh Tư vấn Doanh nghiệp,N/A,Intern/Entry-level,N/A,Công ty TNHH Giải pháp Data V Tech,Hồ Chí Minh,Negotiable,,Careerviet
Fullstack Developer,full stack developer,Intermediate,3,CÔNG TY TNHH CÔNG NGHỆ THỂ THAO OOKK,Hồ Chí Minh,Negotiable,"React, PHP, NodeJS, Firebase",Careerviet
Kỹ sư lập trình nhúng - Embedded Engineer,software engineer,Intermediate,3,Tập Đoàn Karofi Holding,Hà Nội,$816.33-1020.41,"Python, AWS, Linux, Agile",Careerviet
Front- end Developer,software developer,Senior,2-8,CÔNG TY TNHH SX BAO BÌ NAM VIỆT,Hồ Chí Minh,$530.61-734.69,"JavaScript, HTML, CSS, React, UI/UX",Careerviet
Nhân viên IT,IT professional,Junior,2-3,EQuest Education Group (EQG),Hồ Chí Minh,$489.80-571.43,,Careerviet
Senior Data Engineer - Data Platform Center - Hà Nội,data engineer,Senior,3-5,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Negotiable,"CI/CD, Spark, NoSQL, ETL, Airflow",Careerviet
NHÂN VIÊN LẬP TRÌNH CAM CNC,N/A,Any Level,N/A,Công ty TNHH Lập Phúc,Hồ Chí Minh,$408.16-1224.49,,Careerviet
Business Development (Remote),system administrator,Junior,2-3,CÔNG TY CỔ PHẦN PERMATE GLOBAL,Hồ Chí Minh,$408.16-2040.82,Networking,Careerviet
Chuyên Viên Quản Trị Hệ Thống,system administrator,Junior,1-3,CÔNG TY CỔ PHẦN CÔNG NGHIỆP WELDCOM,Hà Nội,$612.24-816.33,"SQL, Azure, MySQL, Linux, VMware, Hyper-V, Nginx",Careerviet
Giảng Viên Quản Trị Mạng Và Quản Trị Hệ Thống (Full-time),N/A,Any Level,N/A,Chương trình Học viện Công nghệ BKACAD,Hà Nội,$816.33-2448.98,,Careerviet
Backend Developer (Golang),backend developer,Intermediate,3-4,Công Ty Cổ Phần Công Nghệ Sen Đỏ,Hồ Chí Minh,$1224.49-1428.57,"Docker, Kubernetes, gRPC, MySQL, Redis, ElasticSearch, Jenkins, Git, CI/CD, NoSQL",Careerviet
Kỹ sư hạ tầng & hỗ trợ công nghệ thông tin,backend developer,Intermediate,3-5,Công ty Cổ phần IntelLife,Hà Nội,$1020.41-2040.82,"Python, Odoo, MongoDB, MySQL, Redis, Linux, VMware, RabbitMQ",Careerviet
