Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Nhân Viên Tư Vấn Triển Khai ERP Oracle,N/A,Intermediate,3-5,CÔNG TY TNHH CÔNG NGHỆ B2B,Hồ Chí Minh,Thương lượng,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-tu-van-trien-khai-erp-oracle.35C256D9.html
Network/System Administrator,system administrator,Intermediate,3,Soctrip,Hồ Chí Minh,$18.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/network-system-administrator.35C2667A.html
CHUYÊN VIÊN PHÂN TÍCH NGHIỆP VỤ ERP [ERP FUNCTIONAL CONSULTANT],SAP consultant,Intermediate,2-5,Tổng công ty Xây dựng số 1 – CTCP,Hồ Chí Minh,Thương lượng,"Power BI, Analysis, Agile, Scrum, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-erp-erp-functional-consultant.35C2653F.html
Kỹ Sư Hạ Tầng Cloud,DevOps engineer,Intermediate,2-5,Công Ty Cổ Phần Phương Tiện Điện Thông Minh Selex,Hà Nội,$18.00,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Ansible, Microservices",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-ha-tang-cloud.35C1B2E1.html
Chuyên viên cao cấp Vận hành dịch vụ CNTT - Hà Nội/Hồ Chí Minh - TA160,DevOps engineer,Intermediate,3-6,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà NộiHồ Chí Minh,Thương lượng,"Java, SQL, Docker, Kubernetes, AWS, CI/CD, Terraform, Ansible, Puppet, Linux, Microservices",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-van-hanh-dich-vu-cntt-ha-noi-ho-chi-minh-ta160.35C1B2BF.html
Bridge System Engineer,systems engineer,Any Level,N/A,Công Ty TNHH Pasona Tech Việt Nam,Hồ Chí Minh,$35.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/bridge-system-engineer.35C1B201.html
Kỹ sư Phân tích nghiệp vụ - Business Analyst,business analyst,Junior,2-3,Tổng Công ty Cổ phần Công trình Viettel,Hà Nội,$15.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-phan-tich-nghiep-vu-business-analyst.35C1B27A.html
Chuyên viên Phân tích và Phát triển dữ liệu (DA/BA),data analyst,Senior,2-10,Tổng Công ty Cổ phần Bảo hiểm Quân đội (MIC),Hà Nội,Thương lượng,"Python, SQL, Power BI, Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-va-phat-trien-du-lieu-da-ba.35C1B2DC.html
Quản trị mạng - Network Engineer,software engineer,Intermediate,2-4,Tổng Công ty Cổ phần Công trình Viettel,Hà Nội,$20.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/quan-tri-mang-network-engineer.35C1B36D.html
Lập Trình Viên Game- Game Developers,game developer,Any Level,N/A,Koei Tecmo Software Vietnam,Hà Nội,Thương lượng,"Java, PHP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/lap-trinh-vien-game-game-developers.35C1B397.html
Senior Business Development Execuitive (HAN),UX/UI designer,Senior,5-6,CÔNG TY TNHH OPENWAY VIỆT NAM,Hà Nội,$1000.00,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-business-development-execuitive-han.35C1B467.html
"Chuyên Viên Sản Phẩm - Giải Pháp Phần Mềm Trong Y Tế (HIS, RIS, PACS, EMR, ERP,...)",data analyst,Intermediate,2-5,CÔNG TY TNHH Y TẾ VIỆT TIẾN,Hồ Chí Minh,$12.00,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-san-pham-giai-phap-phan-mem-trong-y-te-his-ris-pacs-emr-erp.35C1B3CE.html
Data Engineer (Kiến trúc và Phát triển dữ liệu),data engineer,Senior,2-10,Tổng Công ty Cổ phần Bảo hiểm Quân đội (MIC),Hà Nội,Thương lượng,SQL,Careerviet,https://careerviet.vn/vi/tim-viec-lam/data-engineer-kien-truc-va-phat-trien-du-lieu.35C1B2E8.html
Chuyên viên cao cấp Dữ liệu lớn (Big Data Engineer),data engineer,Junior,1,Ngân hàng Thương mại cổ phần Đông Nam Á (SeABank),Hà Nội,Thương lượng,"Python, SQL, Tableau, Power BI, PostgreSQL, MySQL, Redis, ElasticSearch, Hadoop, Spark, Big Data, Agile, ETL, BigQuery, Apache",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-du-lieu-lon-big-data-engineer.35C1B4EF.html
GAME DESIGNER - LẬP KẾ HOẠCH CHO GAME,game developer,Any Level,N/A,Koei Tecmo Software Vietnam,Hà Nội,Thương lượng,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/game-designer-lap-ke-hoach-cho-game.35C1B3A7.html
Data Engineer,data engineer,Junior,1,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội,Thương lượng,"Python, Java, SQL, Docker, Kubernetes, Redis, Hadoop, Spark, NoSQL, Agile, Microservices, ETL, BigQuery, Airflow, Kafka, Apache",Careerviet,https://careerviet.vn/vi/tim-viec-lam/data-engineer.35C1B21F.html
Nhân viên phân tích nghiệp vụ ERP,N/A,Junior,1-3,Công ty Cổ phần CANIFA,Hà Nội,$8.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-phan-tich-nghiep-vu-erp.35C1B4EA.html
Senior IoT and Automation Manager,data analyst,Senior,7-10,Công Ty Cổ Phần GreenFeed Việt Nam,Hồ Chí Minh,Thương lượng,"SQL, Tableau, Data analysis, Analysis, AWS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-iot-and-automation-manager.35C1B4C9.html
Technical Business Analyst,business analyst,Intermediate,4-5,Công Ty Cổ Phần Công Nghệ Sen Đỏ,Hồ Chí Minh,$28.00,"Analysis, JIRA, Agile, Scrum, Kanban, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/technical-business-analyst.35C208DF.html
"CV/CVC/CVCC Phát triển ứng dụng (.net)  - Làm việc tại TSC Hà Đông, Hà Nội",backend developer,Intermediate,3,Ngân hàng TMCP Việt Á – VietABank,Hà Nội,Thương lượng,"Java, MySQL, Linux",Careerviet,https://careerviet.vn/vi/tim-viec-lam/cv-cvc-cvcc-phat-trien-ung-dung-net-lam-viec-tai-tsc-ha-dong-ha-noi.35C20865.html
IT Support Executive,IT support,Junior,2-3,Viet Thai International,Hồ Chí Minh,Thương lượng,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/it-support-executive.35C263C8.html
Business Analyst BA  (New recruitment),business analyst,Intermediate,2-5,CÔNG TY TNHH SX BAO BÌ NAM VIỆT,Hồ Chí Minh,$20.00,"Agile, Scrum",Careerviet,https://careerviet.vn/vi/tim-viec-lam/business-analyst-ba-new-recruitment.35C250AC.html
[Ba Tri] Chuyên viên IT,business analyst,Intermediate,2-5,Công Ty Cổ Phần Vacxin Việt Nam,Bến Tre,Thương lượng,"SQL, Firewall",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ba-tri-chuyen-vien-it.35C1AE88.html
Chuyên Viên Tư Vấn Giải Pháp CNTT - Presale,data scientist,Junior,1-2,Công ty TNHH Viettel - CHT,Hà NộiHồ Chí Minh,Thương lượng,"Python, SQL, PHP, Linux, Unix, Bash, AI, VMware, Hyper-V",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giai-phap-cntt-presale.35C1AFE9.html
Senior DataOps,data engineer,Junior,2-3,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Thương lượng,"SQL, AWS, Linux, ETL",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-dataops.35C1B0C3.html
Devops Engineer,DevOps engineer,Junior,2,Công ty TNHH Viettel - CHT,Hà NộiHồ Chí Minh,Thương lượng,"Python, Java, Docker, Kubernetes, AWS, Azure, Linux",Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-engineer.35C1B0D3.html
CVC Phân tích kinh doanh KHDN - Hà Nội,data scientist,Intermediate,2-5,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Thương lượng,"SQL, Excel, R",Careerviet,https://careerviet.vn/vi/tim-viec-lam/cvc-phan-tich-kinh-doanh-khdn-ha-noi.35C1B0D6.html
CVCC Vận hành hệ thống dữ liệu,data engineer,Junior,2-3,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Thương lượng,"SQL, AWS, Linux, ETL",Careerviet,https://careerviet.vn/vi/tim-viec-lam/cvcc-van-hanh-he-thong-du-lieu.35C1B0C8.html
Middle Java Developer Upto 40M,software developer,Intermediate,3-4,CÔNG TY TNHH INFOPLUS,Hà Nội,$40.00,"Java, MongoDB, Spring, MySQL, Kafka",Careerviet,https://careerviet.vn/vi/tim-viec-lam/middle-java-developer-upto-40m.35C1B056.html
