Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
Database Administrator,database administrator,Junior,2,Navigos Group,"hcm, hanoi",Thương lượng,"MS SQL Server, Mysql, Python, Crm Databases, Ssrs",Vietnamworks
QA Supervisor ( Nghỉ Tất Cả Thứ 7 và Chủ Nhật ),QA engineer,Senior,5,Mektec Manufacturing Corporation (Vietnam) Ltd.,hung yen,$700.00,"QA, QC, SMT Production, 8D Problem Solving, English",Vietnamworks
Business Application Manager,data scientist,Intermediate,3,,Hồ Chí Minh,Thương lượng,"Application Development, Business Planning, Customer Service, ERP, Supplier Management",Vietnamworks
Nhân Viên Kỹ Thuật Công Nghệ Thông Tin,data scientist,Junior,1,Công ty Cổ phần Công Nghệ Thiên Vận,thành phố hồ chí minh,Thương lượng,"Bảo Trì Hệ Thống, Công Nghệ Thông Tin, Hỗ Trợ Kỹ Thuật, Xử Lý Sự Cố, Điện Nhẹ",Vietnamworks
"Software Engineer - Integration Build (Opensource System, C, C++, Python) (Quantity: 04)",software engineer,Any Level,N/A,LG Electronics R&D Vietnam,hà nội,Thương lượng,"C++, Python, Integration Management, Shell scripts, Linux",Vietnamworks
Kỹ Sư Hệ Thống (Nam - Không Yêu Cầu Kinh Nghiệm),system administrator,Junior,1,Công Ty Cổ Phần Tư Vấn Chuyển Giao Công Nghệ ITC,hà nội,$408.00,"Công nghệ thông tin, Điện tử viễn thông, Hệ thống mạng máy tính, Cisco, VMware",Vietnamworks
"Thông Báo Tuyển Dụng Chuyên Gia Nghiên Cứu, Đo Kiểm",embedded systems engineer,Any Level,N/A,TRUNG TÂM ĐO LƯỜNG CHẤT LƯỢNG VIỄN THÔNG,hà nội,$612.00,"Công Nghệ Thông Tin, Điện Tử Viễn Thông, Tin Học Văn Phòng, Nghiên Cứu Độc Lập, Giao Tiếp Tiếng Anh",Vietnamworks
MES Developer,software developer,Intermediate,3,VINFAST TRADING AND PRODUCTION JSC,hanoi,Thương lượng,"C#, HTML/CSS, JavaScript, Microsoft SQL Server, Problem Solving",Vietnamworks
Data Intelligence Analyst,data scientist,Junior,2,Red2 Digital,ho chi minh,Thương lượng,"SQL, BigQuery, Looker Studio, English, Python",Vietnamworks
"Senior Associate, Product Suppot, SPX Express (preferred QC )",QA engineer,Intermediate,3,CÔNG TY TNHH SPX EXPRESS,Hồ Chí Minh,Thương lượng,"QC Systems, QC Training, Software Manual Testing, Software Testing, UAT testing",Vietnamworks
Quality Assurance Engineer (Accept Fresher),QA engineer,Any Level,N/A,HYUNDAI Kefico,tp hải dương,Thương lượng,"QA, QC, IQC, Quality assuance, Engineering",Vietnamworks
