Job Title,Role,Level,Company,Year Of Experiences,Location,Salary Range,Required Skills,Source Platform
Data Architect - Khối Dữ Liệu (Ho24.297),Data Architect - Khối Dữ Liệu Ho24.297,N/A,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,5 năm kinh nghiệm,"19th – MB Building,18 Le Van Luong Str., Cau Giay Dist. Hanoi, Vietnam",Thương lượng,"Banking Solution, Cấu trúc dữ liệu, Data Architecture, Data Management, Xây Dựng Giải Pháp",https://www.vietnamworks.com/data-architect-khoi-du-lieu-ho24-297-1842178-jv?source=searchResults&searchType=2&placement=1842578&sortBy=date
Senior Automation Test Leader,Senior Automation Test Leader,['Senior'],Capgemini Vietnam,7 năm kinh nghiệm,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Thương lượng,"Automation Testing, QA, QC, Software Testing, Web Automation Testing",https://www.vietnamworks.com/senior-automation-test-leader--1837200-jv?source=searchResults&searchType=2&placement=1837250&sortBy=date
Software Test Engineer,Software Test Engineer,N/A,Vinfast Trading And Production JSC,Không yêu cầu năm kinh nghiệm,"Cat Hai, Hai Phong, Vietnam",Thương lượng,"Software Testing, Automation Testing, Test, Manual Testing, Software Manual Testing",https://www.vietnamworks.com/software-test-engineer--1839004-jv?source=searchResults&searchType=2&placement=1839004&sortBy=date
Nhân Viên Phát Triển Sản Phẩm Mới (Ipqc) (Chấp Nhận Sinh Viên Mới Ra Trường),Nhân Viên Phát Triển Sản Phẩm Mới Ipqc Chấp Nhận Sinh Viên Mới Ra Trường,N/A,Foster Electric (Bac Ninh) Co. Ltd,1 năm kinh nghiệm,"No. 1, Street 11, VSIP Bac Ninh, Tu Son Town, Bac Ninh Province",9tr-11tr ₫/tháng,"Giao Tiếp, Kỹ Thuật, Phát Triển Sản Phẩm, Sáng Tạo, Tiếng Anh",https://www.vietnamworks.com/nhan-vien-phat-trien-san-pham-moi-ipqc-chap-nhan-sinh-vien-moi-ra-truong-1841061-jv?source=searchResults&searchType=2&placement=1841511&sortBy=date
Mobile Developer (Flutter/ React Native/ Android/ iOS),Mobile Developer Flutter/ React Native/ Android/ iOS,N/A,Công Ty Cổ Phần Phân Phối Quốc Tế,Không yêu cầu năm kinh nghiệm,"R1-11-10, Tầng 11, Tháp R1, Tòa nhà EverRich, 968 đường 3 tháng 2, Phường 15, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"React, Flutter, Android, OS System, API",https://www.vietnamworks.com/mobile-developer-flutter-react-native-android-ios--1839581-jv?source=searchResults&searchType=2&placement=1840131&sortBy=date
Nhân Viên Phòng Kế Hoạch & Marketing Dịch Vụ (R_SPOD2411),Nhân Viên Phòng Kế Hoạch & Marketing Dịch Vụ R_SPOD2411,N/A,Công Ty Ô Tô Toyota Việt Nam,Không yêu cầu năm kinh nghiệm,"Phường Phúc Thắng, Thị xã Phúc Yên, Tỉnh Vĩnh Phúc",$ 500-600 /tháng,"Production Monitoring, KPI Reporting, Data Analysis, Microsoft Office, Access SQL",https://www.vietnamworks.com/nhan-vien-phong-ke-hoach-marketing-dich-vu-r-spod2411-1843711-jv?source=searchResults&searchType=2&placement=1843761&sortBy=date
Lập Trình Viên,Lập Trình Viên,N/A,Taixin Printing VINA,1 năm kinh nghiệm,"Số 6, đường TS3, KCN Tiên Sơn, Xã Hoàn Sơn, Tiên Du, Bắc Ninh",100-400 ₫/tháng,"MS SQL, C#, ERP, Phát Triển Phần Mềm, Thiết Kế Phần Mềm",https://www.vietnamworks.com/lap-trinh-vien-1839861-jv?source=searchResults&searchType=2&placement=1840261&sortBy=date
"Senior Executive, Digital Business","Senior Executive, Digital Business",['Senior'],"DKSH Vietnam Co., Ltd.",5 năm kinh nghiệm,"5th Floor, Viettel Complex Tower, 285 Cach Mang Thang Tam Street, Ward 12, District 10, Ho Chi Minh City, Vietnam",30tr-40tr ₫/tháng,"Analytical Thinking, Data Analysis, Microsoft Office, Project Management, Salesforce",https://www.vietnamworks.com/senior-executive-digital-business-1844042-jv?source=searchResults&searchType=2&placement=1844342&sortBy=date
Chuyên Viên Tích Hợp Hệ Thống,Chuyên Viên Tích Hợp Hệ Thống,N/A,Công Ty CP Công Nghệ Bằng Hữu (Amigo),2 năm kinh nghiệm,"Phòng 501, tầng 5, tòa nhà Indochina Plaza Hà Nội, số 241 Xuân Thủy, Cầu Giấy, Hà Nội / Văn phòng HCM: 179EF Cách mạng tháng 8, phường 5, Quận 3, HCM",Thương lượng,"Cloud Solution, System Integrators, Linux, SAN Storage, Cấu Hình Switch",https://www.vietnamworks.com/chuyen-vien-tich-hop-he-thong--1827666-jv?source=searchResults&searchType=2&placement=1827816&sortBy=date
Trưởng Phòng IT,Trưởng Phòng IT,N/A,Vifon,3 năm kinh nghiệm,VIFON,"$ 1,500-3,500 /tháng","Project Management, IT System Administration, IT Operations, ERP, Công Nghệ Thông Tin",https://www.vietnamworks.com/truong-phong-it--1842756-jv?source=searchResults&searchType=2&placement=1843056&sortBy=date
IT Manager (Cyber Security Experienced),IT Manager Cyber Security Experienced,N/A,Unigen Vietnam Hanoi Co.Ltd,3 năm kinh nghiệm,"No. 11, Street 8, VSIP Bac Ninh, Phu Chan, Tu Son, Bac Ninh",Thương lượng,"ISO 27001, Risk Assessment, Security Infrastructure, Cyber Security, IT Operations",https://www.vietnamworks.com/it-manager-cyber-security-experienced-1837722-jv?source=searchResults&searchType=2&placement=1837822&sortBy=date
Senior IT Business Analyst / Consultant Chinese/ German and English Speaking,Senior IT Business Analyst / Consultant Chinese/ German and English Speaking,['Senior'],Bosch Global Software Technologies Company Limited,5 năm kinh nghiệm,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Agile Methodologies, Business Analysis, Communication, Data Visualization, MS SQL",https://www.vietnamworks.com/senior-it-business-analyst-consultant-chinese-german-and-english-speaking-1843821-jv?source=searchResults&searchType=2&placement=1844271&sortBy=date
ERP Application,ERP Application,N/A,Modelleisenbahn Việt Nam,5 năm kinh nghiệm,"Nhà xưởng số 1, 2, 3 và 4 đường Tiên Phong số 9, KCN Mapletree Bình Dương, Phường Hòa Phú, Thành Phố Thủ Dầu Một, Tỉnh Bình Dương",Thương lượng,"Supply Chain, Production Planning, ERP Application, XML, ERP",https://www.vietnamworks.com/erp-application--1835267-jv?source=searchResults&searchType=2&placement=1835867&sortBy=date
Temporary Process Improvement Specialist (8 Months),Temporary Process Improvement Specialist 8 Months,N/A,Techcombank,1 năm kinh nghiệm,"Head Office: 6 Quang Trung Street, Hoan Kiem District, Hanoi",Thương lượng,"Banking, Process Improvement, Quality Control, Six Sigma, Lean",https://www.vietnamworks.com/temporary-process-improvement-specialist-8-months-1838403-jv?source=searchResults&searchType=2&placement=1838453&sortBy=date
Senior IT Implementation Consultant,Senior IT Implementation Consultant,['Senior'],Công Ty Cổ Phần Laidon Việt Nam,5 năm kinh nghiệm,"324 Lê Văn Sỹ, Phường 2, Tân Bình",Thương lượng,"ERP Implementation, Project Management, Agile, Computer Science, Jira",https://www.vietnamworks.com/senior-it-implementation-consultant-1826156-jv?source=searchResults&searchType=2&placement=1826306&sortBy=date
Presales Consultant (Security/network),Presales Consultant Security/network,N/A,Công Ty Cổ Phần Đầu Tư Phát Triển Công Nghệ Điện Tử Viễn Thông (Elcom Corp),3 năm kinh nghiệm,"Tòa nhà Elcom, 15 Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Thương lượng,"Công nghệ thông tin, Viễn Thông, Nghiên Cứu Sản Phẩm, Security Management, Thiết Kế Giải Pháp",https://www.vietnamworks.com/presales-consultant-security-network-1843853-jv?source=searchResults&searchType=2&placement=1844303&sortBy=date
Chuyên Viên Phát Triển Và Vận Hành (Nhóm Dữ Liệu Lớn) – CV2 (Mã: Cmt.bdt.cv2),Chuyên Viên Phát Triển Và Vận Hành Nhóm Dữ Liệu Lớn – CV2 Mã: Cmt.bdt.cv2,N/A,Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,1 năm kinh nghiệm,"Tầng 2, Tầng 17 và tầng 18, tòa nhà Pacific Place, số 83B phố Lý Thường Kiệt, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",Thương lượng,"Tài chính Ngân hàng, Big Data, C, Linux, Oracle",https://www.vietnamworks.com/chuyen-vien-phat-trien-va-van-hanh-nhom-du-lieu-lon-cv2-ma-cmt-bdt-cv2-1837786-jv?source=searchResults&searchType=2&placement=1837836&sortBy=date
Fortran Developer (ASAP),Fortran Developer ASAP,N/A,Hitachi Digital Services,Không yêu cầu năm kinh nghiệm,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12","$ 1,500-3,500 /tháng","Công nghệ thông tin, Fortran, IT Phần Mềm, Software Programming, Coding Experience",https://www.vietnamworks.com/fortran-developer-asap-1837723-jv?source=searchResults&searchType=2&placement=1837773&sortBy=date
Kỹ Sư Phát Triển Phần Mềm,Kỹ Sư Phát Triển Phần Mềm,N/A,Trường Đại Học CMC,1 năm kinh nghiệm,"Số 84c, Đường Nguyễn Thanh Bình, Phường Vạn Phúc, Quận Hà Đông, TP. Hà Nội.",Thương lượng,"Python, Java, C++, C#, Data Mining",https://www.vietnamworks.com/ky-su-phat-trien-phan-mem--1840836-jv?source=searchResults&searchType=2&placement=1841186&sortBy=date
