Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Chuyên Gia Thiết kế hệ thống CNTT - TA160,N/A,N/A,5 - 10 Năm,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hồ Chí MinhHà Nội,Cạnh tranh,Analysis,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-thiet-ke-he-thong-cntt-ta160.35C2379E.html
"Project Manager - CRM, HRM Software",N/A,N/A,Trên 5 Năm,Tập Đoàn Karofi Holding,Hà Nội,28 Tr - 35 Tr VND,Agile,Careerviet,https://careerviet.vn/vi/tim-viec-lam/project-manager-crm-hrm-software.35C23776.html
"Chuyên viên Phân tích nghiệp vụ CNTT, Dự án Nguồn vốn",N/A,N/A,Trên 1 Năm,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Cạnh tranh,"AI, Agile, Kanban",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-cntt-du-an-nguon-von.35C2373D.html
"Chuyên viên Phân tích nghiệp vụ CNTT, Dự án GL",N/A,N/A,Trên 1 Năm,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Cạnh tranh,ERP,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-cntt-du-an-gl.35C2373C.html
Product Owner (Blockchain/Crypto),N/A,N/A,3 - 18 Năm,Công ty Cổ phần Tập đoàn Meey Land,Hà Nội,40 Tr - 65 Tr VND,Agile,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-owner-blockchain-crypto.35C28A8E.html
Helpdesk & Junior Developer,N/A,N/A,1 - 2 Năm,CÔNG TY CỔ PHẦN THIẾT KẾ VÀ QUẢN LÝ KỸ THUẬT IMP,Bình Dương,11 Tr - 15 Tr VND,"JavaScript, HTML, CSS3, React, ReactJS, C#, RESTful, MySQL, Git, React Native",Careerviet,https://careerviet.vn/vi/tim-viec-lam/helpdesk-junior-developer.35C28951.html
Chuyên viên chính Vận hành,N/A,N/A,Trên 3 Năm,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,Cạnh tranh,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-van-hanh.35C2894F.html
Sales/ Business Development Specialist (Non-CX),N/A,N/A,1 - 2 Năm,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,25 Tr - 35 Tr VND,Business Intelligence,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sales-business-development-specialist-non-cx.35C28B1A.html
DevOps Engineer,N/A,N/A,4 - 10 Năm,CÔNG TY TNHH MEDRING VIỆT NAM INTERNATIONAL,Hà Nội,40 Tr - 65 Tr VND,"Python, Docker, AWS, Terraform, Linux, Networking",Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-engineer.35C288F1.html
Nhân Viên Lập Trình Nhúng (Iot/ Embedded),N/A,N/A,Trên 2 Năm,"MrVina Technology Co.,ltd",Hồ Chí Minh,Cạnh Tranh,C/C++,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-lap-trinh-nhung-iot-embedded.35C289CE.html
Giám đốc Trung tâm Công nghệ Blockchain,N/A,N/A,5 - 18 Năm,Công ty Cổ phần Tập đoàn Meey Land,Hà Nội,70 Tr - 100 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/giam-doc-trung-tam-cong-nghe-blockchain.35C28964.html
Software Technical Support,N/A,N/A,1 - 2 Năm,Vietmap - Công ty Cổ phần Ứng Dụng Bản Đồ Việt,Hà Nội,10 Tr - 15 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/software-technical-support.35C28A23.html
Lập Trình Viên .Net (Back End),N/A,N/A,2 - 5 Năm,Công ty CP IIG Việt Nam,Hà Nội,15 Tr - 25 Tr VND,"SQL, React, .NET, .Net, C#, RESTful, MongoDB, Restful API, Git, CI/CD, Agile, Scrum",Careerviet,https://careerviet.vn/vi/tim-viec-lam/lap-trinh-vien-net-back-end.35C28917.html
Head of Data,N/A,N/A,7 - 10 Năm,Yes4All Trading Services Company Limited,Hồ Chí Minh,Cạnh Tranh,"Python, SQL, Data science, AWS, Azure, GCP, TensorFlow, PyTorch, Hadoop, Spark, Big Data, Machine Learning, ETL, Snowflake, Kafka",Careerviet,https://careerviet.vn/vi/tim-viec-lam/head-of-data.35C28A63.html
Sales Manager/ Business Development Manager,N/A,N/A,N/A,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sales-manager-business-development-manager.35C28A75.html
Sales manager -  for the Japanese market,N/A,N/A,5 - 15 Năm,HR Vietnam’s ESS Client,Hồ Chí MinhHà Nội,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sales-manager-for-the-japanese-market.35C288FE.html
NHÂN VIÊN DATA ANALYSIS (LÀM VIỆC TẠI NHÀ MÁY LONG AN),N/A,N/A,N/A,ALLIANCE CONSTRUCTION AND TRADING COMPANY LIMITED,Long An,"5,5 Tr - 10 Tr VND","SQL, Power BI, Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-data-analysis-lam-viec-tai-nha-may-long-an.35C288CC.html
Giám Đốc Chiến lược Sản Phẩm Công nghệ,N/A,N/A,7 - 20 Năm,Công ty Cổ phần Tập đoàn Meey Land,Hà Nội,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/giam-doc-chien-luoc-san-pham-cong-nghe.35C288CD.html
Chuyên viên chính/Chuyên viên cao cấp Phát triển sản phẩm LiveBank,N/A,N/A,3 - 5 Năm,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-phat-trien-san-pham-livebank.35C288E3.html
Odoo Developer,N/A,N/A,3 - 4 Năm,CÔNG TY CỔ PHẦN Z HOLDING,Hà Nội,20 Tr - 35 Tr VND,"Python, JavaScript, Odoo, PostgreSQL, REST API, SOAP, Git, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/odoo-developer.35C2A2E9.html
Chuyên viên Thiết kế viễn thông tại Hà Nội,N/A,N/A,Trên 3 Năm,Công ty Cổ phần Dịch vụ Viễn thông Trí Việt,Hà Nội,12 Tr - 15 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-thiet-ke-vien-thong-tai-ha-noi.35C2B0F9.html
NHÂN VIÊN KINH DOANH PHẦN MỀM,N/A,N/A,N/A,CÔNG TY TNHH CUNG ỨNG NHÂN LỰC NHÂN KIỆT,Bình Dương,"7,5 Tr - 20 Tr VND",N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-phan-mem.35C2B0CA.html
IT software Developer,N/A,N/A,2 - 5 Năm,"Friwo Vietnam Co., Ltd",Đồng Nai,Cạnh Tranh,"Java, SQL, .NET, .Net, C#",Careerviet,https://careerviet.vn/vi/tim-viec-lam/it-software-developer.35C2C505.html
