Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Job URL,Source Platform
"TOP


Nhân Viên IT Helpdesk Hỗ Trợ KH Qua Tổng Đài (Ca Xoay) (Onboard Từ 01/01/2025)",,N/A,1 năm,CÔNG TY CỔ PHẦN BPO MẮT BÃO,Hà Nội,13 - 16 triệu,N/A,https://www.topcv.vn/brand/matbao/tuyen-dung/nhan-vien-it-helpdesk-ho-tro-kh-qua-tong-dai-ca-xoay-onboard-tu-01-01-2025-j1568580.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
"Frontend Leader (ReactJS, NextJS) - Tại Hà Nội - Thu Nhập 25 - 33 Triệu",,Trưởng nhóm,4 năm,SAPP Academy,Hà Nội,25 - 33 triệu,"ReactJS, NextJS, Team Leader",https://www.topcv.vn/viec-lam/frontend-leader-reactjs-nextjs-tai-ha-noi-thu-nhap-25-33-trieu/1455441.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
"TOP


Chuyên Viên Kinh Doanh B2B (Lương Cứng 11.7 Triệu + Hoa Hồng Không Giới Hạn)",,Nhân viên,1 năm,CÔNG TY TNHH ALIBABA.COM (VIỆT NAM),Hà Nội & 3 nơi khác,11.7 - 30 triệu,"Sales, Bán Hàng, Kinh Doanh",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-b2b-luong-cung-11-7-trieu-hoa-hong-khong-gioi-han/1518321.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Business Analyst Associate - Tại Hà Nội - Thu Nhập 12 - 22 Triệu,,Nhân viên,2 năm,SAPP Academy,Hà Nội,12 - 22 triệu,"Agile, CRM, Business Analyst",https://www.topcv.vn/viec-lam/business-analyst-associate-tai-ha-noi-thu-nhap-12-22-trieu/1212810.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
"Database Developer (SQL / English) - Up To $2,000 - Quận 12 - HCM",,Nhân viên,2 năm,Nexcel Solutions,Hồ Chí Minh,Thoả thuận,"SQL, Database Management System (DBMS), English (trình Độ Giao Tiếp Tốt), Sql (t Sql, Pl Sql, Mysql, Postgresql, V.v.), Mysql (or Other Sql Databases), Quản Lý Cơ Sở Dữ Liệu (database Administration Cơ Bản)",https://www.topcv.vn/viec-lam/database-developer-sql-english-up-to-2-000-quan-12-hcm/1567752.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
QC Manager,,Trưởng/Phó phòng,Trên 5 năm,CÔNG TY CỔ PHẦN VETC,Hà Nội,Thoả thuận,"MySQL, Automation Test, Manual Testing, Team Leader",https://www.topcv.vn/viec-lam/qc-manager/1305389.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Embedded Software Engineer - Thu Duc/ Ho Chi Minh,,Nhân viên,3 năm,CÔNG TY TNHH KỸ THUẬT RED & BLUE,Hồ Chí Minh,20 - 25 triệu,N/A,https://www.topcv.vn/viec-lam/embedded-software-engineer-thu-duc-ho-chi-minh/1571626.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Trưởng Nhóm Kinh Doanh/ Sale Manager,,Nhân viên,3 năm,CÔNG TY CỔ PHẦN THƯƠNG MẠI CÔNG NGHỆ THÔNG TIN DI ĐỘNG,"Hà Nội, Hồ Chí Minh",12 - 18 triệu,"Kỹ năng lãnh đạo, Kỹ năng giao tiếp, Kỹ năng đàm phán, Kỹ năng quản lý, Kỹ năng bán hàng",https://www.topcv.vn/viec-lam/truong-nhom-kinh-doanh-sale-manager/1572157.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
IT Business Analyst,,Nhân viên,3 năm,Công Ty TNHH Bảo Hiểm Liberty,Hồ Chí Minh,Thoả thuận,"Quản Lý Dự Án, Phân Tích Nghiệp Vụ, Viết tài liệu, Thu Thập Yêu Cầu, Mô Hình Hóa Dữ Liệu",https://www.topcv.vn/viec-lam/it-business-analyst/1570742.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Quản Lý Dự Án Điện Tử Viễn Thông,,Quản lý / Giám sát,Không yêu cầu kinh nghiệm,CÔNG TY TNHH CÔNG NGHỆ AI-TELECOM VIỆT NAM,Hà Nội,10 - 20 triệu,"Quản Lý Dự Án, Quản Lý Rủi Ro, Lập Kế Hoạch Dự Án, Theo Dõi Và Kiểm Soát Tiến Độ Dự Án, Kiến Thức Về Điện Tử Viễn Thông",https://www.topcv.vn/viec-lam/quan-ly-du-an-dien-tu-vien-thong/1570799.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
