Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Software Development - Integration Technology (ESB),,,3 - 6 Năm,FE CREDIT,Hồ Chí Minh,"1,000 - 1,800 USD","SQL, MongoDB, AWS, Git, CI/CD, Linux, Agile",Careerviet,https://careerviet.vn/vi/tim-viec-lam/software-development-integration-technology-esb.35C25D5C.html
Cộng tác viên Giám sát an ninh thông tin,,,,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/cong-tac-vien-giam-sat-an-ninh-thong-tin.35C21E1B.html
Chuyên viên cao cấp Phân tích cảnh báo sớm và Giám sát hệ thống,,,3 - 5 Năm,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-canh-bao-som-va-giam-sat-he-thong.35C21E1A.html
SAP Master Data Specialist,,,5 - 10 Năm,Công Ty TNHH PMAS,Bình Dương,Cạnh tranh,SAP,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sap-master-data-specialist.35C27219.html
Chuyên viên chính Ứng phó sự cố An ninh thông tin (Incident Response),,,Trên 2 Năm,Ngân hàng Thương mại cổ phần Đông Nam Á (SeABank),Hà Nội,Cạnh tranh,"MySQL, Linux, Unix, Networking, TCP/IP, Firewall, Apache, IIS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-ung-pho-su-co-an-ninh-thong-tin-incident-response.35C1BE38.html
Văn phòng chuyển đổi_Truởng phòng Quản lý sáng kiến,,,Trên 4 Năm,Ngân hàng TMCP Lộc Phát Việt Nam (LPBank),Hà Nội,Cạnh tranh,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/van-phong-chuyen-doi_truong-phong-quan-ly-sang-kien.35C21847.html
Chuyên viên cao cấp Quản lý Rủi ro Công nghệ thông tin,,,3 - 5 Năm,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-quan-ly-rui-ro-cong-nghe-thong-tin.35C21A66.html
Chuyên viên Product designer (UI/UX),,,1 - 2 Năm,Công ty Cổ phần Masscom Việt Nam,Hà Nội,12 Tr - 15 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-product-designer-ui-ux.35C2196A.html
Cộng tác viên Giám sát an ninh thông tin,,,,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/cong-tac-vien-giam-sat-an-ninh-thong-tin.35C1BBC3.html
DevOps & Security Manager,,,5 - 9 Năm,DatVietVAC Group Holdings,Hồ Chí Minh,Cạnh tranh,"Python, Docker, Kubernetes, AWS, Azure, Git, CI/CD, Terraform, Ansible, Chef, Puppet, Linux, Unix, Agile, Scrum, Kanban, VMware, TCP/IP, Firewall",Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-security-manager.35C1BD4B.html
SAP FICO CONSULTANT,,,Trên 2 Năm,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Hồ Chí MinhHà Nội,Cạnh tranh,"SAP, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/sap-fico-consultant.35C1BC92.html
Chuyên viên chính/cao cấp phân tích dữ liệu nâng cao (Advanced Analytics),,,2 - 5 Năm,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,"Python, Docker, Kubernetes, Hadoop, Spark, Kafka",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-cao-cap-phan-tich-du-lieu-nang-cao-advanced-analytics.35C1BB81.html
Chuyên viên trực giám sát an ninh thông tin,,,1 - 2 Năm,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-truc-giam-sat-an-ninh-thong-tin.35C1BB8E.html
Chuyên viên cao cấp Giám sát An ninh (SOC 2),,,3 - 5 Năm,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,Linux,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-giam-sat-an-ninh-soc-2.35C1BB21.html
"Lập Trình Viên Java (Einvoice, Econtract, CA)",,,2 - 3 Năm,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội,15 Tr - 35 Tr VND,"Python, Java, MongoDB, Docker, PostgreSQL, MySQL, Redis, ElasticSearch, Restful API, Linux, TCP/IP, Kafka, RabbitMQ, Nginx",Careerviet,https://careerviet.vn/vi/tim-viec-lam/lap-trinh-vien-java-einvoice-econtract-ca.35C1BCC9.html
Kỹ Sư Triển Khai Kỹ Thuật (HAN),,,,Bảo mật,Hà Nội,14 Tr - 24 Tr VND,"Java, SQL, JavaScript, HTML, CSS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-trien-khai-ky-thuat-han.35C216D4.html
